priority_rank,customer_id,customer_name,segment,region,open_amount,open_invoices,max_days_past_due,avg_days_late_hist,dispute_writeoff_rate,priority_score
1,C0113,"Rodriguez, Brennan and Garrison",Enterprise,Northeast,413457.35,5,62,5.0,0.1875,0.686
2,C0054,"Robinson, Jones and Welch",Enterprise,Midwest,312001.21,3,83,20.16,0.0,0.682
3,C0039,Harrell LLC,Enterprise,Southeast,460658.87,4,22,16.61904761904762,0.13793103448275862,0.58
4,C0086,Smith PLC,Enterprise,Northeast,413427.85,4,14,0.0,0.1,0.445
5,C0034,Frazier Inc,Enterprise,Northeast,286753.79,2,29,22.823529411764707,0.0,0.441
6,C0159,Mccarthy Inc,Enterprise,Northeast,215834.05,4,25,34.878787878787875,0.05128205128205128,0.413
7,C0065,Baxter Inc,Enterprise,Midwest,125877.45,1,54,13.290322580645162,0.1111111111111111,0.407
8,C0081,"Sanchez, Wheeler and Harvey",Enterprise,Southeast,277900.80000000005,3,30,0.0,0.029411764705882353,0.375
9,C0146,Stafford Inc,Mid-Market,West,20616.29,2,55,12.166666666666666,0.2631578947368421,0.356
10,C0141,Hernandez Inc,Mid-Market,Northeast,47954.68,3,19,49.0,0.23809523809523808,0.334
11,C0142,Riggs PLC,Enterprise,International,256810.3,2,1,20.419354838709676,0.13157894736842105,0.324
12,C0118,Rasmussen LLC,Enterprise,West,190438.28,2,15,9.68,0.15625,0.299
13,C0148,"Holmes, Williams and Wright",SMB,Northeast,7675.98,1,30,48.0,0.0,0.279
14,C0120,"Rivera, Johnson and Wiley",Mid-Market,Midwest,33571.09,1,42,11.647058823529411,0.1,0.268
15,C0157,"Mitchell, Nelson and Flores",Mid-Market,Northeast,27648.769999999997,2,49,4.333333333333333,0.05555555555555555,0.258
16,C0058,"Johnston, Sanchez and Kennedy",Mid-Market,Midwest,18214.86,2,24,21.833333333333332,0.2727272727272727,0.256
17,C0061,"Brown, Valdez and Lucas",Enterprise,Southeast,140742.05,1,15,3.466666666666667,0.2,0.249
18,C0057,"Washington, Ryan and Cummings",SMB,Midwest,9884.25,2,29,22.0,0.125,0.231
19,C0049,Hickman Ltd,Enterprise,West,159679.5,2,-1,8.652173913043478,0.1935483870967742,0.216
20,C0083,Donovan-Harris,SMB,West,7023.58,2,30,27.4,0.0,0.216
21,C0059,Lee-Davis,SMB,Southeast,4841.38,1,17,22.0,0.2727272727272727,0.215
22,C0151,Salazar-Ball,Mid-Market,West,14210.86,1,14,21.333333333333332,0.16666666666666666,0.18
23,C0036,Rodriguez-Graham,Mid-Market,Midwest,23508.57,1,31,3.6875,0.05555555555555555,0.176
24,C0044,Allen-Allen,Mid-Market,International,33274.41,1,-2,35.75,0.10526315789473684,0.166
25,C0089,Suarez LLC,Mid-Market,Midwest,22850.0,1,10,20.176470588235293,0.1,0.15
26,C0134,"Carroll, Sullivan and Bass",SMB,Northeast,4339.68,1,17,10.5,0.1,0.133
27,C0100,Walsh LLC,Mid-Market,Southeast,39167.72,1,-10,31.5,0.0,0.13
28,C0001,"Rodriguez, Figueroa and Sanchez",SMB,Midwest,1853.72,1,1,7.5,0.375,0.128
29,C0143,Gibson Ltd,Enterprise,West,119460.54000000001,2,1,3.1578947368421053,0.0,0.117
30,C0121,White-Estes,Mid-Market,Midwest,35518.86,2,-12,27.7,0.0,0.115
31,C0124,"Joyce, Wilson and Lam",Mid-Market,Southeast,26070.56,1,-4,13.0,0.2,0.115
32,C0027,Baker and Sons,Mid-Market,Southeast,23190.0,1,2,18.916666666666668,0.07142857142857142,0.105
33,C0114,Gonzalez Group,Enterprise,International,38969.96,1,-21,10.4,0.125,0.098
34,C0138,"Jackson, Miller and Robertson",Mid-Market,West,27095.95,1,2,0.0,0.25,0.098
35,C0091,"Turner, Riggs and Roman",Enterprise,West,57667.33,1,-14,10.482758620689655,0.03225806451612903,0.09
36,C0110,Johnson-Doyle,SMB,International,3508.6,1,13,10.1,0.0,0.088
37,C0011,Blair PLC,Mid-Market,Midwest,3613.45,1,-11,16.25,0.1,0.079
38,C0033,"Ferrell, Rice and Maddox",SMB,Southeast,3471.19,1,1,6.5,0.18181818181818182,0.075
39,C0147,Robinson-Brock,Mid-Market,International,24097.660000000003,2,10,2.823529411764706,0.0,0.071
40,C0025,"Walter, Edwards and Rios",SMB,Midwest,1078.52,1,8,11.5,0.0,0.069
41,C0051,"Brooks, Lam and Hayes",Enterprise,Northeast,17719.56,1,4,0.0,0.125,0.065
42,C0047,Anderson Group,SMB,Southeast,4627.47,1,2,17.5,0.0,0.065
43,C0111,Patton-Jenkins,Mid-Market,Southeast,37276.49,1,-6,0.0,0.1111111111111111,0.061
44,C0096,Harris-Walters,Mid-Market,West,14733.46,1,-12,14.9,0.0,0.057
45,C0139,"Harvey, Davis and Crane",SMB,West,1621.61,1,1,16.333333333333332,0.0,0.055
46,C0056,Jones-Young,Mid-Market,Northeast,19080.35,1,-9,0.0,0.058823529411764705,0.031
47,C0038,"Baker, Mason and White",SMB,Southeast,1869.73,1,7,0.0,0.0,0.03
48,C0037,Smith-Bowen,Mid-Market,Southeast,12266.02,1,-12,0.0,0.0625,0.026
49,C0014,"Mcclure, Ward and Lee",Mid-Market,Southeast,9641.21,1,1,0.0,0.0,0.012
