geoid,precinct_code,precinct_name,total_population_2020
37063000001,001,BROGDEN MIDDLE SCHOOL,2612
37063000002,002,GEORGE WATTS ELEMENTARY,4746
37063000003,003,E K POWE ELEMENTARY,3395
37063000004,004,SCHOOL OF SCIENCE AND MATH,2022
37063000005,005,PATTERSON REC CENTER,11402
37063000006,006,LAKEWOOD SCHOOL,3220
37063000007,007,SCHOOL OF THE ARTS,3337
37063000008,008,MOREHEAD MONTESSORI,3736
37063000009,009,FOREST HILLS CLUB HOUSE,3417
37063000010,010,C C SPAULDING SCHOOL,3357
37063000012,012,MONUMENT OF FAITH CHURCH,1027
37063000013,013,BURTON ELEMENTARY,2365
37063000014,014,Y E SMITH SCHOOL,4535
37063000015,015,MT CALVARY CHURCH,2723
37063000016,016,HOLY INFANT CATHOLIC,2853
37063000017,017,COUNTY MAIN LIBRARY,5520
37063000018,018,FIRST UNITED ANTIOCH,5564
37063000019,019,AMERICAN LEGION POST 7,5153
37063000020,020,COUNTY AGRICULTURAL BUILDING,2864
37063000021,021,CLUB BOULEVARD SCHOOL,2667
37063000022,022,VFW POST 2740,8656
37063000023,023,THE RIVER CHURCH,10357
37063000024,024,DPS STAFF DEVELOPMENT CENTER,6277
37063000025,025,NORTHERN HIGH SCHOOL,4585
37063000026,026,BAHAMA VFD - ROUGEMONT STATION,1904
37063000027,027,CREEKSIDE ELEMENTARY,3925
37063000028,028,BAHAMA RURITAN CLUB,6883
37063000029,029,GLENN ELEMENTARY,6873
37063000031,031,BETHESDA RURITAN CLUB,8915
37063000032,032,NEAL MIDDLE SCHOOL,6527
37063000033,033,LOWES GROVE BAPTIST,15569
37063000036,036,YATES BAPTIST CHURCH,5216
37063000037,037,COLE MILL CHURCH,7706
37063000038,038,HOPE VALLEY BAPTIST,11766
37063000039,039,ST. STEPHENS EPISCOPAL,4093
37063000040,040,ROGERS-HERR MIDDLE SCHOOL,2916
37063000041,041,WHITE ROCK BAPTIST CHURCH,1827
37063000042,042,SHEPHARD MAGNET SCHOOL,1636
37063000043,043,FOREST VIEW ELEMENTARY,8972
37063000044,044,NORTH REGIONAL LIBRARY,8084
37063000045,045,TEMPLE BAPTIST CHURCH,6643
37063000046,046,EDISON JOHNSON CENTER,6325
37063000047,047,HOLMES RECREATION CENTER,2790
37063000048,048,CHRIST THE KING MORAVIAN,2256
37063000050,050,MCMANNEN UNITED METHODIST,5837
37063000051,051,SOUTHWEST ELEMENTARY,7058
37063000052,052,EVANGEL ASSEMBLY OF GOD,6711
37063000054,054,WATERFORD VILLAGE APTS,11592
370630030-1,30-1,OAK GROVE ELEMENTARY,14985
370630030-2,30-2,SOUTHERN HIGH SCHOOL,10654
370630034-1,34-1,PEARSONTOWN ELEMENTARY,4296
370630034-2,34-2,IVY COMMUNITY CENTER,8371
370630035.3,35.3,0035.3,12272
370630053-1,53-1,TRIANGLE PRESBYTERIAN,4456
370630053-2,53-2,TRIANGLE CHURCH,5866
37063055-11,055-11,055-11,2794
37063055-49,055-49,055-49,2725
