priority_rank,precinct_norm,registered_active,registration_rate,registration_gap_imputed,turnout_2024_General,turnout_2023_Municipal,turnout_gap,priority_score
1,44,6346,0.785007422068283,False,0.9431415555930488,0.0887155297532656,0.8544260258397832,0.775
2,30-2,7095,0.6659470621362868,False,0.9065873885150992,0.1603790452351153,0.746208343279984,0.766
3,31,7113,0.7978687605159843,False,0.8951118475559238,0.1561976549413735,0.7389141926145503,0.733
4,54,6787,0.5854899930986888,False,0.8857389801210026,0.2141776529068511,0.6715613272141515,0.722
5,33-1,5820,,True,0.90093537414966,0.1644719161515721,0.7364634579980879,0.71
6,28,3446,0.5006537846869098,False,0.9409020217729394,0.095679012345679,0.8452230094272604,0.707
7,33-2,5342,,True,0.836552748885587,0.1072601240423203,0.7292926248432666,0.695
8,38,6684,0.5680775114737379,False,0.8852908891328211,0.2531945101751064,0.6320963789577146,0.694
9,25,3039,0.6628135223555071,False,0.9350603264726756,0.0397376543209876,0.8953226721516879,0.687
10,23,6193,0.5979530752148305,False,0.8612222626409604,0.2073375262054507,0.6538847364355096,0.684
11,05,5065,0.4442203122259253,False,0.7083333333333334,0.0710014947683109,0.6373318385650225,0.684
12,29,4010,0.5834424559871962,False,0.885498320268757,0.0988871224165341,0.7866111978522229,0.68
13,30-3,4935,,True,0.8929479768786127,0.1738891936368623,0.7190587832417504,0.66
14,30-4,5060,,True,0.9254615910645088,0.2214818763326226,0.7039797147318861,0.649
15,35-4,4604,,True,0.9541349809885932,0.2170201758923952,0.737114805096198,0.648
16,34-2,5174,0.6180862501493251,False,0.8796397979354272,0.2144927536231884,0.6651470443122388,0.639
17,45,4933,0.7425861809423453,False,0.9410741465535986,0.2075381679389313,0.7335359786146672,0.637
18,43,6598,0.7353990191707535,False,0.9286932787444558,0.3082416521906967,0.6204516265537592,0.635
19,32,7850,1.2026964914968592,False,0.9437460716530484,0.2422964049889948,0.7014496666640535,0.635
20,26,1342,0.7048319327731093,False,0.9379474940334128,0.0059372349448685,0.9320102590885443,0.627
21,57,4679,,True,0.934242571846079,0.2710895052902488,0.6631530665558302,0.602
22,22,3983,0.4601432532347504,False,0.7963228957196208,0.1904273504273504,0.6058955452922704,0.595
23,37,5949,0.7719958473916428,False,0.9435394298407996,0.322365680966264,0.6211737488745357,0.595
24,53-2,4589,0.7823048073644733,False,0.9189050908160656,0.2319949012109624,0.6869101896051033,0.583
25,52,3111,0.4635672776039338,False,0.8215085884988798,0.1766753698868581,0.6448332186120216,0.579
26,51,5193,0.7357608387645225,False,0.944654882154882,0.3141385767790262,0.6305163053758558,0.577
27,35-5,4289,,True,0.929282614245596,0.2939160239931448,0.6353665902524512,0.566
28,56,4660,,True,0.9532884034394608,0.3435114503816794,0.6097769530577813,0.56
29,46,2853,0.4510671936758893,False,0.8604651162790697,0.2408724513987672,0.6195926648803025,0.546
30,24,3605,0.5743189421698264,False,0.9058751153491232,0.3041958041958042,0.601679311153319,0.53
31,50,3620,0.6201816001370567,False,0.9043506078055022,0.303895102198226,0.6004555056072762,0.519
32,19,3013,0.5847079371240055,False,0.8624761904761905,0.2571556350626118,0.6053205554135788,0.511
33,18,2007,0.3607117181883537,False,0.7389486260454002,0.1744452945677123,0.5645033314776879,0.511
34,34-1,3240,0.7541899441340782,False,0.9165786694825766,0.27875,0.6378286694825765,0.495
35,36,2424,0.4647239263803681,False,0.8749412317818523,0.3044708545557442,0.5704703772261082,0.486
36,55-49,1563,0.5735779816513762,False,0.6955307262569832,0.0771704180064308,0.6183603082505524,0.486
37,17,3749,0.6791666666666667,False,0.8211788211788211,0.284826974267968,0.5363518469108531,0.479
38,14,2319,0.5113561190738699,False,0.7205726405090138,0.1803621169916434,0.5402105235173704,0.475
39,27,3110,0.7923566878980892,False,0.9287006876583423,0.3026584867075664,0.626042200950776,0.47
40,10,2434,0.7250521298778672,False,0.8149300155520995,0.2159810126582278,0.5989490028938718,0.455
41,47,1703,0.6103942652329749,False,0.8762214983713354,0.2597597597597597,0.6164617386115758,0.452
42,13,968,0.4093023255813953,False,0.6375921375921376,0.1165354330708661,0.5210567045212715,0.439
43,02,3593,0.7570585756426464,False,0.7691805419523343,0.2685589519650655,0.5006215899872688,0.437
44,08,2701,0.7229657387580299,False,0.8682170542635659,0.3125339120998372,0.5556831421637287,0.428
45,55-11,1488,0.5325697924123121,False,0.7715384615384615,0.2369402985074626,0.5345981630309989,0.42
46,41,1190,0.6513409961685823,False,0.8575342465753425,0.2561728395061728,0.6013614070691697,0.412
47,15,1301,0.4777818582445832,False,0.7628959276018099,0.2550177095631641,0.5078782180386459,0.408
48,07,2464,0.7383877734492059,False,0.865588681152097,0.3585926928281461,0.5069959883239509,0.38
49,42,1114,0.6809290953545232,False,0.8105906313645621,0.2623345367027677,0.5482560946617945,0.372
50,06,1694,0.5260869565217391,False,0.8698186528497409,0.4001512859304085,0.4696673669193324,0.369
51,09,2403,0.7032484635645303,False,0.9435155896972436,0.4495,0.4940155896972436,0.363
52,03,2209,0.6506627393225332,False,0.8476239669421488,0.3942172073342736,0.4534067596078752,0.354
53,21,1576,0.5909261342332208,False,0.9357092941998604,0.4554064719810576,0.48030282221880277,0.345
54,40,1909,0.6546639231824417,False,0.8569711538461539,0.3992831541218638,0.45768799972429003,0.341
55,12,641,0.6241480038948394,False,0.7721280602636534,0.2665094339622642,0.5056186263013893,0.34
56,01,1005,0.3847626339969372,False,0.8571428571428571,0.4441489361702128,0.4129939209726443,0.334
57,20,1911,0.6672486033519553,False,0.9043683589138136,0.4682040531097134,0.4361643058041002,0.315
58,,8,,True,0.2857142857142857,0.0,0.2857142857142857,0.234
59,04,1516,0.7497527200791295,False,0.9482386772106398,0.5987210231814548,0.349517654029185,0.209
